,Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_AgeGroup,Defendant_IndigencyStatus,PriorConvs_Fel,PriorConvs_Misd,PriorFTAConvs,PriorVPRAIViolConvs,PriorVPRAIViolConvs_Fel,PriorVPRAIViolConvs_Misd,WhetherDefendantWasReleasedPretrial,BondTypeAtInitialContact,BondAmountAtInitialContact,ContactEvent_WhetherOffensePunishablebyIncaration,CaseType_MostSerChargeinContactEvent_regardlessofFinalDisp,CurrentCharge_VPRAIViolent,CurrentCharge_PSAViolent,FinalDispositionAllCharges_v1,ImposedSentenceMostSeriousConvictionInContactEvent,VPRAI_TotalPoints_Opt1,VPRAI_RiskLevel_Opt2,VPRAI_TotalPoints_Opt2,VPRAI_RiskLevel_Opt2,VPRAI_PTPlacementRiskLevel,PSA_FTA_TotalPoints,PSA_FTA_RiskLevelScale,PSA_NCA_TotalPoints,PSA_NCA_RiskLevelScale,UnemploymentRate_October2017_BureauofLaborStatistics,GiniIndex,WhiteAlonePercentage_PopulationEstimate_2017_Census,AfricanAmericanAlonepercentage_PopulationEstimate_2017,AsianAlonepercentage_PopulationEstimate_2017_Census,Male_MedianAge_2017Census,Female_MedianAge_2017Census,FollowUp_ArrestedforNewOff,FollowUp_ChargedWithNewFTA,NewArrest_VCC,NewArrest_Type,NewArrest_VCCClassification,NewArrest_Disposition,FollowUp_ArrestedForNewOffPunishableByIncarceration,NewArrestPunishableByIncarceration_Type,FollowUp_NewFelonyArrest,NewFelonyArrest_VCC,NewFelonyArrest_VCCPrefix,NewFelonyArrest_VCCClassification,NewFelonyArrest_Type,NewFelonyArrest_Disposition,FollowUp_NewVPRAIViolentArrest,NewVPRAIViolentArrest_VCC,NewVPRAIViolentArrest_VCCPrefix,NewVaCode297ViolentOff_VCC,NewVaCode297ViolentOff_Disposition,recid
6240,M,B,28,3,0,0,0,0,0,0,0,1,3,1500,1,M,1,1,5,0,0,1,1,1, ,1,2,3,3,3.2,.42,67.8,20.2,7.2,34.5,37.8,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
6241,M,B,21,2,1,0,2,0,0,0,0,1,3,1500,1,M,1,1,2, ,2,2,3,2, ,1,2,3,3,3.2,.42,67.8,20.2,7.2,34.5,37.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6242,M,B,34,3,0,0,0,0,0,0,0,1,4, ,0,M,0,0,5,0,0,1,1,1, ,0,1,0,1,3.2,.42,67.8,20.2,7.2,34.5,37.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6243,M,B,42,4,1,0,14,0,1,0,1,0,1, ,1,M,0,0,5,12.1642710472279,6,4,7,4, ,3,4,7,5,3.2,.42,67.8,20.2,7.2,34.5,37.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6244,F,W,28,3,1,0,3,2,0,0,0,0,2,3500,1,M,1,1,1, ,3,2,4,2, ,2,3,1,2,3.2,.42,67.8,20.2,7.2,34.5,37.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6245,M,W,37,4,1,3,8,1,1,0,1,1,2,3500,1,M,0,0,5,12.1642710472279,6,4,7,4, ,2,3,5,4,3.2,.42,67.8,20.2,7.2,34.5,37.8,1,0,CON3210S9,M,S9,0,1,M,0, , , , , ,0, , , , ,1
6246,F,W,45,4,1,0,5,0,0,0,0,1,2,2500,1,M,0,0,5,12.1642710472279,2,2,3,2, ,1,2,3,3,3.2,.42,67.8,20.2,7.2,34.5,37.8,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6247,M,W,33,3,1,6,7,0,0,0,0,0,1, ,1,F,0,0,5,2,9,5,10,5, ,1,2,4,3,3.9,.43,81.8,12.9,1.2,36.6,40.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6248,F,B,29,3,1,0,0,0,0,0,0,1,1, ,1,S,0,0,5,.328542094455852,0,1,1,1,2,0,1,0,1,3.9,.43,81.8,12.9,1.2,36.6,40.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6249,F,W,45,4,1,0,3,0,0,0,0,0,1, ,1,S,0,0,5,.328542094455852,2,2,3,2, ,1,2,1,2,3.9,.43,81.8,12.9,1.2,36.6,40.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6250,F,W,61,6,99,0,0,0,0,0,0,1,3,5000,1,M,0,0,9, ,0,1,1,1, ,0,1,0,1,4.6,.52,73.8,15.9,6.5,27.6,26.3, , , , , , , , , , , , , , , , , , , ,0
6251,M,B,28,3,1,0,2,0,1,0,1,0,5, ,1,F,1,1,1, ,2,2,3,2, ,2,3,2,2,4.6,.52,73.8,15.9,6.5,27.6,26.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6252,M,B,30,3,1,0,2,0,2,0,2,0,1, ,1,F,1,1,5,120,3,2,4,2, ,1,2,4,3,4.6,.52,73.8,15.9,6.5,27.6,26.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6253,M,W,43,4,1,0,1,0,0,0,0,1,2,2500,1,F,0,0,5,12,5,3,6,3, ,3,4,2,2,4.6,.52,73.8,15.9,6.5,27.6,26.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6254,M,B,22,2,1,0,0,0,0,0,0,0,1, ,1,F,1,1,5,60,0,1,1,1, ,0,1,2,2,3.1,.45,80.8,11.9,2.6,35.4,38,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6255,M,W,22,2,1,1,5,0,0,0,0,0,1, ,1,F,0,0,5,60,8,5,9,5, ,2,3,9,6,3.1,.45,80.8,11.9,2.6,35.4,38,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6256,M,B,23,2,0,0,0,0,0,0,0,0,1, ,1,F,1,1,5,60,0,1,1,1, ,0,1,0,1,3.1,.45,80.8,11.9,2.6,35.4,38,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6257,F,B,47,5,1,11,11,0,1,0,1,1,1, ,1,F,0,0,1, ,5,3,6,3,6,1,2,5,4,3.1,.45,80.8,11.9,2.6,35.4,38,1,1,PRE5029S9,M,S9,0,1,M,0, , , , , ,0, , , , ,1
6258,M,B,38,4,1,1,3,0,0,0,0,1,1, ,1,F,0,0,3, ,5,3,6,3, ,1,2,4,3,3.9,.46,68.1,28.6,.7,44.6,48.1,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6259,M,B,36,4,0,0,4,0,0,0,0,0,1, ,1,S,0,0,5,0,2,2,3,2, ,1,2,3,3,3.9,.46,68.1,28.6,.7,44.6,48.1,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6260,F,B,29,3,1,0,2,1,0,0,0,1,3,1500,1,M,0,0,5,6,2,2,3,2, ,3,4,2,2,2.9,.47,81.7,9.8,5.4,37.4,40.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6261,F,W,22,2,0,0,0,0,0,0,0,1,3,1500,1,M,1,1,1, ,0,1,1,1, ,0,1,2,2,2.9,.47,81.7,9.8,5.4,37.4,40.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6262,F,W,29,3,1,0,2,0,0,0,0,1,3,7500,1,M,0,0,5,.985626283367556,2,2,3,2, ,1,2,1,2,2.9,.47,81.7,9.8,5.4,37.4,40.4,1,0,FRD2743F9,F,F9,0,1,F,1,FRD2743F9,FRD,F9,F,0,0, , , , ,1
6263,M,W,51,5,0,1,2,0,2,1,1,0,1, ,0,S,0,0,4, ,3,2,4,2, ,2,3,6,4,3.9,.44,92.9,4.7,.3,46.6,49.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6264,M,W,26,3,0,0,5,0,0,0,0,1,3,1000,1,S,0,0,5,0,4,3,5,3, ,3,4,6,4,3.6,.38,75.9,21.1,.6,44,46.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6265,M,B,29,3,0,0,0,0,0,0,0,1,3,500,1,S,0,0,5,0,0,1,1,1, ,0,1,0,1,3.6,.38,75.9,21.1,.6,44,46.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6266,M,W,67,7,1,2,20,0,9,0,9,0,1, ,1,F,0,0,5,24,9,5,10,5, ,2,3,9,6,3.7,.42,77.3,18.9,.5,43.6,46.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6267,M,W,39,4,0,0,0,0,0,0,0,1,2,3500,1,M,0,0,5,6,0,1,1,1, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6268,M,B,38,4,1,6,13,2,1,0,1,0,1, ,1,M,0,0,5,.164271047227926,3,2,4,2, ,6,5,7,5,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6269,M,W,29,3,0,0,9,2,0,0,0,1,1, ,1,M,0,0,5,.328542094455852,3,2,4,2, ,2,3,3,3,2.3,.44,75.5,9.5,10.8,34.6,35,1,0,NAR3020M9,M,M9,1,1,M,0, , , , , ,0, , , , ,1
6270,F,B,43,4,1,0,0,0,0,0,0,1,2,1000,1,F,0,0,1, ,2,2,3,2, ,3,4,4,3,2.3,.44,75.5,9.5,10.8,34.6,35,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
6271,F,W,39,4,0,0,0,0,0,0,0,1,4, ,0,M,0,0,5,0,0,1,1,1, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6272,M,W,25,2,0,0,16,1,1,0,1,1,4, ,0,M,0,0,1, ,2,2,3,2, ,3,4,7,5,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6273,M,B,66,7,1,10,56,1,14,4,10,0,1, ,1,M,0,0,5,12,10,6,11,6, ,5,5,10,6,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6274,F,W,55,5,0,0,0,0,0,0,0,1,4, ,0,M,0,0,1, ,0,1,1,1, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6275,M,W,41,4,0,0,0,0,0,0,0,1,4, ,0,M,0,0,5,0,0,1,1,1, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6276,M,B,34,3,1,0,0,0,0,0,0,1,4, ,1,M,0,0,5,0,0,1,1,1, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,1,0,OBS371204,M,4,0,1,M,0, , , , , ,0, , , , ,1
6277,M,B,34,3,0,0,0,0,0,0,0,1,3,3000,1,F,0,0,1, ,3,2,4,2, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6278,M,W,34,3,1,0,0,0,0,0,0,1,1, ,1,F,0,0,5,6,3,2,4,2, ,0,1,0,1,2.3,.44,75.5,9.5,10.8,34.6,35,1,1,CON5010M9,M,M9,0,1,M,0, , , , , ,0, , , , ,1
6279,M,W,47,5,0,0,1,0,0,0,0,1,4, ,0,M,0,0,5,0,2,2,3,2, ,1,2,1,2,3.1,.44,93.3,4.4,.7,43.6,46.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6280,M,W,67,7,0,4,3,0,2,2,0,1,4, ,0,M,0,0,5,0,3,2,4,2, ,1,2,3,3,3.1,.44,93.3,4.4,.7,43.6,46.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6281,M,W,24,2,1,0,1,0,0,0,0,1,2,500,1,S,0,0,5,0,2,2,3,2, ,1,2,1,2,3.1,.44,93.3,4.4,.7,43.6,46.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6282,F,W,27,3,1,0,3,1,1,0,1,1,2,2000,1,F,0,0,5,24,5,3,6,3, ,3,4,7,5,3.1,.44,93.3,4.4,.7,43.6,46.6,1,1,CON3283S9,M,S9,1,1,M,0, , , , , ,0, , , , ,1
6283,F,W,51,5,0,4,3,0,0,0,0,1,4, ,0,M,0,0,5,0,6,4,7,4, ,1,2,5,4,2.6,.46,93.4,4.7,.5,51.3,51.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6284,F,W,45,4,1,2,2,0,0,0,0,1,1, ,1,F,0,0,5,24,9,5,10,5, ,2,3,4,3,3.4,.43,89.7,7.1,1.3,45.6,47.3,1,0,PRE4859S9,M,S9,0,0, ,0, , , , , ,0, , , , ,1
6285,F,B,24,2,1,2,5,0,1,1,0,1,2,1000,1,M,0,0,3, ,6,4,7,4, ,1,2,5,4,3.4,.43,89.7,7.1,1.3,45.6,47.3,1,1,CON3210S9,M,S9,1,1,M,0, , , , , ,0, , , , ,1
6286,M,W,54,5,0,9,9,0,0,0,0,1,3,1500,1,M,1,1,2, ,2,2,3,2, ,2,3,4,3,3.4,.43,89.7,7.1,1.3,45.6,47.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6287,M,W,32,3,0,0,3,0,1,0,1,1,3,1500,1,M,1,1,5,.985626283367556,2,2,3,2, ,2,3,7,5,3.4,.43,89.7,7.1,1.3,45.6,47.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6288,F,W,34,3,1,0,9,3,1,0,1,0,1, ,9, ,0,0,5,.328542094455852,5,3,6,3, ,5,5,5,4,3.4,.43,89.7,7.1,1.3,45.6,47.3,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6289,M,W,28,3,1,1,0,0,0,0,0,1,1, ,1,F,0,0,5,.131416837782341,6,4,7,4, ,1,2,1,2,3.2,.41,94.5,3.8,.5,44.3,49.8,1,0,NAR3042F9,F,F9,1,1,F,1,NAR3042F9,NAR,F9,F,1,0, , , , ,1
6290,M,B,19,2,1,0,0,0,0,0,0,1,3,2500,1,F,0,0,5,3,0,1,1,1, ,0,1,2,2,3.1,.45,94.3,3.3,.7,46.9,48.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6291,M,B,36,4,1,0,5,0,0,0,0,0,2,3000,1,S,0,0,5,4.59958932238193,4,3,5,3, ,2,3,7,5,4.8,.44,43,54.8,.7,40.3,48.4,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6292,F,W,38,4,0,0,3,0,0,0,0,1,4, ,0,M,0,0,5,0,2,2,3,2, ,1,2,4,3,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6293,M,W,47,5,0,0,0,0,0,0,0,1,1, ,1,F,1,1,1, ,6,4,7,4, ,1,2,3,3,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6294,M,W,48,5,1,2,1,0,0,0,0,1,3,5000,1,M,1,1,1, ,2,2,3,2, ,2,3,4,3,5.7,.48,95.9,2.8,.4,45.2,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6295,M,W,29,3,1,9,10,0,4,1,3,1,2,500,1,F,0,0,5,24,9,5,10,5, ,3,4,9,6,3.6,.44,82,14.5,1.1,41.6,44.7,1,1,PRT5070M1,M,M1,0,1,M,1,LAR2359F9,LAR,F9,F,1,1,ASL1315M1,ASL, , ,1
6296,M,W,22,2,1,3,8,1,0,0,0,1,1, ,1,M,0,0,5,12,7,4,8,4, ,5,5,8,5,3.6,.44,82,14.5,1.1,41.6,44.7,1,1,LAR2412F6,F,F6,0,1,F,1,LAR2412F6,LAR,F6,F,0,0, , , , ,1
6297,F,W,34,3,1,0,0,0,0,0,0,1,3,2000,1,F,0,0,3, ,3,2,4,2, ,0,1,0,1,3.9,.39,67.4,27.3,.9,38.5,40.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6298,F,W,32,3,1,2,0,0,0,0,0,0,1, ,1,F,1,1,5,240,5,3,6,3, ,1,2,1,2,3.9,.39,67.4,27.3,.9,38.5,40.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6299,M,W,36,4,1,3,0,0,0,0,0,1,2,2000,1,F,1,1,5,240,5,3,6,3,5,1,2,3,3,3.9,.39,67.4,27.3,.9,38.5,40.5,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
6300,M,W,38,4,1,0,6,0,3,0,3,1,2,1000,1,F,0,0,1, ,6,4,7,4,5,2,3,8,5,3.9,.39,67.4,27.3,.9,38.5,40.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6301,M,W,32,3,1,0,9,1,0,0,0,1,3,5000,1,M,0,0,5,3,6,4,7,4, ,4,4,7,5,3.9,.39,67.4,27.3,.9,38.5,40.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6302,M,B,19,2,1,0,5,1,0,0,0,0,1, ,1,F,1,1,5,60,2,2,3,2, ,3,4,7,5,3.9,.39,67.4,27.3,.9,38.5,40.5,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6303,M,W,32,3,0,4,3,0,1,0,1,1,4, ,0,M,0,0,5,0,2,2,3,2, ,1,2,5,4,3.6,.44,97.8,.8,.2,46.8,48.9,1,0,VAN2922M1,M,M1,0,1,M,0, , , , , ,0, , , , ,1
6304,M,W,22,2,0,0,0,0,0,0,0,1,3,1000,1,M,0,0,5,0,0,1,1,1, ,0,1,2,2,3.6,.44,97.8,.8,.2,46.8,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6305,F,W,31,3,0,0,2,0,0,0,0,1,4, ,0,M,0,0,5,0,2,2,3,2, ,1,2,1,2,3.6,.44,97.8,.8,.2,46.8,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6306,M,W,40,4,0,0,0,0,0,0,0,1,1, ,1,F,0,1,5,60,0,1,1,1, ,0,1,0,1,3.6,.44,97.8,.8,.2,46.8,48.9,1,0,PRT5007M1,M,M1,1,1,M,0, , , , , ,1,PRT5007M1,PRT, , ,1
6307,M,W,37,4,0,0,0,0,0,0,0,1,4, ,0,M,0,0,5,0,0,1,1,1, ,0,1,0,1,3.6,.44,97.8,.8,.2,46.8,48.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6308,F,W,26,3,1,0,0,0,0,0,0,1,3,1000,1,F,0,0,5,12,3,2,4,2,2,1,2,3,3,3.3,.41,68.9,23.9,3.7,37.6,40.2,1,1,NAR3024M2,M,M2,0,1,M,1,LAR2359C9,LAR,C9,F,0,0, , , , ,1
6309,M,B,21,2,0,1,1,0,1,1,0,1,2,3000,1,F,0,0,5,60,6,4,7,4, ,1,2,7,5,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6310,F,W,52,5,9,7,4,4,0,0,0,1,2,1000,1,M,0,0,5,0,3,2,4,2, ,2,3,4,3,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6311,F,B,38,4,1,0,13,2,2,0,2,1,1, ,1,F,0,0,5,60,9,5,10,5,6,7,6,9,6,3.3,.41,68.9,23.9,3.7,37.6,40.2,1,1,LAR2366M1,M,M1,1,1,M,1,LAR2359F9,LAR,F9,F,1,0, , , , ,1
6312,F,W,32,3,1,4,4,1,0,0,0,0,1, ,1,F,0,0,5,60,9,5,10,5, ,2,3,5,4,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6313,M,W,18,2,9,0,0,0,0,0,0,1,2,5000,1,F,1,1,3, ,0,1,1,1,1,0,1,2,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6314,F,W,47,5,1,1,2,0,0,0,0,1,2,1000,1,F,0,0,5,.985626283367556,5,3,6,3, ,1,2,2,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6315,M,W,29,3,1,0,5,0,1,0,1,1,1, ,1,M,0,0,5,12.1642710472279,6,4,7,4,3,3,4,5,4,3.3,.41,68.9,23.9,3.7,37.6,40.2,1,0,CON3210S9,M,S9,1,1,M,0, , , , , ,0, , , , ,1
6316,M,W,20,2,1,0,0,0,0,0,0,0,1, ,1,M,1,1,1, ,0,1,1,1, ,0,1,2,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6317,F,B,27,3,1,0,1,0,0,0,0,1,2,7500,1,M,0,0,5,.328542094455852,3,2,4,2, ,4,4,2,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6318,F,W,29,3,1,2,6,2,1,0,1,0,1, ,1,F,0,0,5,36,9,5,10,5, ,5,5,9,6,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6319,M,W,28,3,1,5,14,3,6,2,4,1,2,2500,1,M,1,1,5,12,8,5,9,5, ,6,5,8,5,3.3,.41,68.9,23.9,3.7,37.6,40.2,1,1,HIT6604F5,F,F5,1,1,F,1,HIT6604F5,HIT,F5,F,1,1,ASL1315M1,ASL, , ,1
6320,M,B,36,4,1,4,1,0,0,0,0,1,5, ,1,F,0,0,5,120,7,4,8,4,4,3,4,7,5,3.3,.41,68.9,23.9,3.7,37.6,40.2,1,1,DWI5448S9,M,S9,1,1,M,0, , , , , ,0, , , , ,1
6321,F,B,31,3,1,0,1,0,0,0,0,1,3,500,1,M,0,0,5,0,2,2,3,2, ,1,2,3,3,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6322,M,W,50,5,0,0,1,0,0,0,0,1,3,1500,1,M,0,0,1, ,2,2,3,2, ,1,2,1,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
6323,M,W,31,3,0,4,5,0,2,1,1,1,1, ,1,F,0,1,1, ,5,3,6,3,4,1,2,5,4,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6324,F,B,28,3,1,0,2,0,0,0,0,1,2,500,1,M,0,0,5,0,2,2,3,2, ,1,2,1,2,3.3,.41,68.9,23.9,3.7,37.6,40.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6325,M,W,20,2,0,0,2,0,0,0,0,1,2,6000,1,F,0,0,1, ,9,5,10,5, ,2,3,6,4,3.3,.41,68.9,23.9,3.7,37.6,40.2,1,0,REC6625M1,M,M1,0,1,M,0, , , , , ,0, , , , ,1
6326,M,W,34,3,0,0,0,0,0,0,0,1,1, ,1,F,1,1,5,12,0,1,1,1, ,0,1,0,1,3,.45,90.7,4.8,1.5,46.4,47.9,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6327,M,W,30,3,1,1,0,0,0,0,0,1,2,2000,1,F,0,0,5,12.1642710472279,9,5,10,5, ,1,2,1,2,3.3,.42,79.5,14.9,1.7,38.5,39.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6328,M,W,35,3,0,0,2,0,0,0,0,1,3,500,1,M,0,0,5,0,2,2,3,2, ,1,2,1,2,3.9,.43,64.5,32.5,.8,42.1,43.7,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6329,F,W,34,3,1,0,4,0,0,0,0,0,2,1000,1,M,0,0,5,12,7,4,8,4, ,5,5,5,4,3.9,.43,64.5,32.5,.8,42.1,43.7,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
6330,M,W,27,3,0,0,5,0,1,0,1,0,1, ,1,M,0,0,5,3,6,4,7,4, ,3,4,8,5,4.1,.42,56.9,38.2,1,45.9,47.6,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6331,M,W,24,2,0,0,0,0,0,0,0,1,3,5000,1,F,0,0,1, ,3,2,4,2, ,1,2,3,3,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6332,M,W,40,4,1,0,1,0,0,0,0,1,3,3000,1,F,1,1,5,12,2,2,3,2,3,3,4,2,2,2.8,.42,65.2,10.4,20,37.3,39.2,1,1,OBS3712O4,M,O4,1,0, ,0, , , , , ,0, , , , ,1
6333,M,W,23,2,1,0,0,0,0,0,0,1,2,1500,1,F,0,0,1, ,3,2,4,2, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6334,F,B,28,3,1,0,0,0,0,0,0,1,2,1000,1,M,0,0,1, ,0,1,1,1,2,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,1,1,TRS5709M1,M,M1,0,1,M,0, , , , , ,0, , , , ,1
6335,M,W,18,2,1,0,0,0,0,0,0,1,3,2000,1,F,0,0,5,6,3,2,4,2, ,0,1,2,2,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6336,M,W,18,2,0,0,0,0,0,0,0,1,4, ,0,M,0,0,1, ,0,1,1,1, ,0,1,2,2,2.8,.42,65.2,10.4,20,37.3,39.2,1,0,NAR3022F5,F,F5,0,1,F,1,NAR3022F5,NAR,F5,F,0,0, , , , ,1
6337,M,B,53,5,1,0,0,0,0,0,0,1,2,1000,1,M,0,0,5,.328542094455852,0,1,1,1, ,2,3,1,2,2.8,.42,65.2,10.4,20,37.3,39.2,1,1,OBS3712O4,M,O4,1,0, ,0, , , , , ,0, , , , ,1
6338,M,B,19,2,0,0,1,0,0,0,0,1,3,3000,1,F,0,0,5,6,7,4,8,4, ,2,3,6,4,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6339,M,W,28,3,0,0,0,0,0,0,0,1,4, ,0,M,0,0,5,0,0,1,1,1, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6340,M,B,35,3,0,2,1,0,0,0,0,1,3,2500,1,M,1,1,1, ,2,2,3,2, ,1,2,4,3,2.8,.42,65.2,10.4,20,37.3,39.2,1,0,NAR3021M1,M,M1,1,1,M,0, , , , , ,0, , , , ,1
6341,M,W,26,3,0,0,0,0,0,0,0,1,4, ,0,M,0,0,5,0,0,1,1,1, ,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6342,M,B,35,3,1,0,0,0,0,0,0,1,2,3000,1,F,0,0,5,0,0,1,1,1,6,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,1, , , , ,0, ,0, , , , , ,0, , , , ,0
6343,M,W,28,3,1,0,2,1,0,0,0,0,1, ,1,F,0,0,1, ,5,3,6,3, ,3,4,6,4,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6344,M,B,25,2,0,0,0,0,0,0,0,0,1, ,1,F,0,0,1, ,0,1,1,1, ,1,2,3,3,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
6345,M,W,25,2,1,0,4,0,0,0,0,1,2,500,1,M,0,0,1, ,2,2,3,2, ,3,4,6,4,2.8,.42,65.2,10.4,20,37.3,39.2,1,1,NAR3022F5,F,F5,1,1,F,1,NAR3022F5,NAR,F5,F,1,0, , , , ,1
6346,M,B,23,2,1,0,0,0,0,0,0,1,2,10000,1,F,0,0,1, ,3,2,4,2,2,0,1,0,1,2.8,.42,65.2,10.4,20,37.3,39.2,0,0, , , , ,0, ,0, , , , , ,0, , , , ,0
